label,0,1,2,3,4,5,6,7,8,9,10,11,12
andhra_pradesh,-592.508,117.56975,23.228537,27.81418,14.8729725,11.756241,-11.556996,-14.26232,-10.682663,-8.172003,-8.100637,-7.105029,-6.5073004
andhra_pradesh,-578.28265,117.58327,-2.6211224,20.584381,6.302611,10.654482,-25.593641,-8.793226,-4.985946,-5.0032234,-4.145067,-7.61685,-9.86175
andhra_pradesh,-588.2816,105.255264,28.28226,42.210945,-16.812231,14.867346,-15.237608,-9.027327,-1.4190954,-7.6535645,-6.6452155,-7.885378,-1.2308124
andhra_pradesh,-392.57407,148.16043,-12.076679,13.926112,19.155872,-4.8229713,2.3640997,-8.394357,-10.75492,-3.5840771,-11.703759,-5.2514668,0.785428
andhra_pradesh,-351.18283,152.34894,-24.105532,16.026981,28.991026,-4.2538643,-1.8403046,-8.965336,-9.604343,-5.4707847,-12.0134325,-1.714338,1.6535267
andhra_pradesh,-407.87823,159.71158,-23.849018,29.015215,16.370749,-16.935444,6.0931187,-4.247771,-9.393595,-8.014252,-15.109207,-0.12680143,4.4184947
andhra_pradesh,-442.06213,147.36821,-18.868744,28.539845,22.446342,-10.299544,4.3095527,-4.6378503,-7.961447,-7.4706173,-14.330065,-1.7783146,0.3303634
andhra_pradesh,-401.1042,136.88705,-17.105139,20.786388,12.650554,-17.556164,2.544952,0.14434987,-7.950525,-11.618443,-16.844372,-3.958924,1.4170829
andhra_pradesh,-427.07526,144.30045,-17.7249,23.064375,11.73644,-11.786801,10.049886,-1.9095227,-6.115969,-5.810464,-16.884645,-1.9458987,7.039185
andhra_pradesh,-409.467,127.15025,-29.313047,33.443035,31.807747,-6.6947403,3.9226587,-2.5795038,-1.2756646,-0.53448504,-12.797565,-2.4768803,3.3348541
andhra_pradesh,-422.92422,141.03954,-30.41056,33.56885,21.593134,-12.10043,7.74367,-7.010796,-7.829279,-3.4786422,-13.945652,0.31312603,5.6613445
